	cluster	degree
Btbd9	3	340
Btd	3	1800
Btf3l4	1	243
Btg1	0	6
Btg2	0	46
Btk	0	540
Btn2a2	1	244
Btrc	2	1400
Bub3	3	1272
Bud13	0	1051
Bud23	2	1478
Bud31	1	206
Bysl	2	1102
Bzw1	1	60
C10H5orf58	1	197
C1d	1	210
C1galt1	0	272
C1galt1c1	1	193
C1qa	1	13
C1qb	0	2042
C1qbp	0	1106
C1qc	0	1987
C1qtnf1	0	1187
C1qtnf5	0	45
C1r	0	2092
C1rl	0	853
C1s	0	805
C2cd2	2	2093
C2cd2l	2	2597
C2cd3	2	2726
C2cd5	2	1739
C3	0	1383
C330018D20Rik	1	13
C3ar1	0	1410
C4a	0	1417
C4b	0	973
C4bpb	1	100
C5	0	308
C5ar2	0	414
C6	0	497
C8a	2	1795
C8g	3	229
C9	0	34
C4bpa	1	4
Ca12	1	31
Ca14	3	1652
Ca3	3	101
Ca5a	3	730
Ca6	3	122
Caap1	1	17
Cab39	0	227
Cab39l	2	227
Cabcoco1	0	603
Cabin1	2	3243
Cables1	3	687
Cables2	0	1957
Cabp1	2	2547
Cabp2	1	32
Cacna1d	2	760
Cacna2d1	0	57
Cacna2d4	2	503
Cactin	0	3018
Cacul1	0	2779
Cacybp	1	113
Cad	2	252
Cadm1	2	1456
Cadm4	3	830
Cadps2	2	2634
Calcoco1	3	1450
Calcrl	1	105
Bmt2	1	26
Cald1	2	1048
Calm1	3	2344
Calm2	1	114
Caln1	0	4
Calr	3	468
Calr3	3	14
Angptl8	1	7
Calu	0	1031
Camk1	1	19
Camk1d	3	802
Camk2d	0	622
Camk2g	2	1087
Camk2n1	0	509
Camkk2	2	1313
Camlg	3	2715
Camsap1	0	2475
Camsap2	2	3408
Camsap3	2	2264
Camta1	1	51
Camta2	2	2717
Cand1	2	1634
Cant1	1	61
Cap1	0	3003
Capg	0	1030
Capn1	0	1941
Capn10	0	1565
Capn15	2	2651
Capn2	0	2033
Capn5	0	1746
Capn7	1	569
Capns1	3	3038
Caprin1	1	33
Caprin2	0	121
Caps2	1	6
AABR07001926.3	1	1
Capza1	0	2552
Capza2	1	190
Capzb	0	3124
Car2	3	8
Akr1d1	1	4
Card10	0	1962
Card19	0	2585
Card6	3	1211
Carm1	2	1927
