	cluster	degree
Babam1	2	2578
Babam2	3	3488
Bace1	3	3004
Bace2	0	613
Bach1	2	2663
Bach2	0	13
Bad	1	276
Bag1	2	1930
Bag2	2	301
Bag3	2	31
Bag4	0	557
Bag5	0	3094
Bag6	2	1808
Bahcc1	0	2574
Bahd1	0	2613
Baiap2	1	453
Baiap2l1	0	70
Baiap3	1	11
Bak1	1	911
Bambi	3	405
Banf1	2	1646
Bank1	4	23
Banp	2	74
Bap1	2	2815
Batf2	4	6
AABR07044383.1	4	24
Bax	1	232
Baz1a	0	1275
Baz1b	0	1619
Baz2a	0	3258
Baz2b	0	1105
Bbc3	1	1
AABR07058914.1	1	3
Bbip1	2	30
Bbln	3	367
Bbof1	4	499
Bbs1	2	1433
Bbs10	0	450
Bbs12	0	1289
Bbs2	0	3215
Bbs4	0	2168
Bbs5	0	849
Bbs7	0	1165
Bbs9	2	1697
Bbx	3	3582
BC005537	0	4141
BC024063	0	388
BC049762	3	1735
BC051019	4	371
BC055324	0	664
Bcam	1	249
Bcap29	2	2239
Bcap31	3	2030
Bcar1	0	3001
Bcar3	3	994
Bcas2	3	2369
Bcas3	0	4008
Bcat2	3	1737
Bccip	2	898
Bcdin3d	1	243
Bche	3	1090
Bckdha	3	2513
Bckdhb	3	2390
Bcl10	0	2979
Bcl2	0	2453
Bcl2l1	3	252
Bcl2l11	0	142
Bcl2l12	1	436
Bcl2l13	2	2225
Bcl2l2	1	885
Bcl6	2	48
Bcl6b	1	97
AC133270.1	1	14
Bcl7b	3	2638
Bcl7c	1	105
Bcl9	0	2595
Bcl9l	1	3016
Bclaf1	0	1051
Bclaf3	0	912
Bco1	4	3
Bco2	0	985
Bcor	2	2408
Bcorl1	0	181
Bcr	0	2806
Bcs1l	2	866
Bdh1	2	10
Bdh2	1	362
Bdkrb2	1	74
Bean1	0	48
Becn1	0	3027
Bend3	1	887
Bend5	4	437
AABR07002093.1	4	5
Bend7	0	74
Bet1	3	3020
Bet1l	1	3707
Bex1	5	3
Art5	5	9
Bex3	2	183
Bfar	3	3487
Bfsp1	0	137
Bgn	0	795
Bhlhb9	1	2464
Bhlhe40	2	248
Bhlhe41	2	32
Bicc1	0	2222
Bicd1	0	48
Bicd2	0	1135
AABR07054000.1	0	16
Asah2	0	14
Bicra	0	1418
Bicral	0	3630
Bid	0	162
Bin1	2	192
AABR07051450.1	2	28
Bin2	0	96
Bin2a	3	1105
Bin3	1	3158
Birc2	0	2082
Birc3	0	868
Abcg3l4	0	4
Birc6	0	4182
Bivm	0	2974
Blcap	1	630
Bles03	1	3273
Blm	3	1833
Blmh	3	2945
Blnk	0	160
Bloc1s1	3	1197
