name,organism,model_bigg_id
OPLAH,Homo sapiens,Recon3D
GGT5,Homo sapiens,Recon3D
AOC1,Homo sapiens,Recon3D
TPK1,Homo sapiens,Recon3D
ACAD8,Homo sapiens,Recon3D
PPA2,Homo sapiens,Recon3D
B3GAT1,Homo sapiens,Recon3D
UQCRQ,Homo sapiens,Recon3D
ST6GALNAC4,Homo sapiens,Recon3D
AMPD1,Homo sapiens,Recon3D
ATP5S,Homo sapiens,Recon3D
GK,Homo sapiens,Recon3D
PDE7B,Homo sapiens,Recon3D
INPP5J,Homo sapiens,Recon3D
GK2,Homo sapiens,Recon3D
CHIA,Homo sapiens,Recon3D
GLS2,Homo sapiens,Recon3D
GLA,Homo sapiens,Recon3D
AMPD2,Homo sapiens,Recon3D
GLB1,Homo sapiens,Recon3D
GNMT,Homo sapiens,Recon3D
COQ2,Homo sapiens,Recon3D
SULT1B1,Homo sapiens,Recon3D
GCLC,Homo sapiens,Recon3D
AMPD3,Homo sapiens,Recon3D
HPGDS,Homo sapiens,Recon3D
GCLM,Homo sapiens,Recon3D
GLDC,Homo sapiens,Recon3D
GLO1,Homo sapiens,Recon3D
MAT2B,Homo sapiens,Recon3D
GLS,Homo sapiens,Recon3D
GLRX,Homo sapiens,Recon3D
GLUD1,Homo sapiens,Recon3D
GLUD2,Homo sapiens,Recon3D
GLUL,Homo sapiens,Recon3D
AMT,Homo sapiens,Recon3D
GM2A,Homo sapiens,Recon3D
GMDS,Homo sapiens,Recon3D
GMPR,Homo sapiens,Recon3D
AMY1A,Homo sapiens,Recon3D
AMY1B,Homo sapiens,Recon3D
AMY1C,Homo sapiens,Recon3D
GNS,Homo sapiens,Recon3D
AMY2A,Homo sapiens,Recon3D
GOT1,Homo sapiens,Recon3D
GOT2,Homo sapiens,Recon3D
AMY2B,Homo sapiens,Recon3D
GPD1,Homo sapiens,Recon3D
GPD2,Homo sapiens,Recon3D
GPI,Homo sapiens,Recon3D
SLCO4A1,Homo sapiens,Recon3D
SLCO3A1,Homo sapiens,Recon3D
SLCO1B3,Homo sapiens,Recon3D
P4HA3,Homo sapiens,Recon3D
PGM2L1,Homo sapiens,Recon3D
B4GALNT3,Homo sapiens,Recon3D
FADS6,Homo sapiens,Recon3D
HEXDC,Homo sapiens,Recon3D
PIGW,Homo sapiens,Recon3D
