	cluster	degree
Arid5b	1	39
Arih1	0	230
Arih2	0	332
Arl1	0	582
Arl10	0	58
Aarsd1	2	28
Arl11	2	533
Arl13b	1	1565
Arl14ep	1	677
Arl15	1	1848
Arl16	3	164
Arl2	0	1775
Arl2bp	0	1148
Arl3	0	40
Arl4a	1	556
Arl5a	0	114
Arl5b	1	1756
Arl6	1	361
Arl6ip1	1	1786
Arl6ip4	0	652
Arl6ip5	0	979
Arl6ip6	3	239
Arl8a	2	1831
Arl8b	0	1570
Armc1	3	108
Armc10	1	2837
Armc2	0	87
Armc5	2	1171
Armc6	1	156
Armc7	2	1294
Armc8	0	813
Armc9	2	1709
Armcx1	1	3428
Armcx4	1	1187
Armcx5	0	1029
Armh3	2	244
Armt1	0	99
Arnt	2	2384
Arntl	4	38
Arpc1a	1	3171
Arpc1b	1	2777
Arpc2	3	1838
Arpc3	3	2281
Arpc4	1	1841
Arpc5	1	2457
Arpc5l	0	84
Arpin	1	1774
Arpp19	0	290
Arpp21	4	40
Arrb1	1	2865
Arrb2	3	2247
Arrdc1	1	2667
Arrdc2	0	606
Arrdc3	3	231
Arsa	1	3417
Arsb	1	1290
Arse	1	1331
Arsg	2	6
AABR07004891.1	2	2
Arsk	1	458
Art1	0	935
Art3	0	797
Art5	0	879
Arv1	3	871
Arx	4	45
As3mt	0	860
Asah1	3	1927
Asap1	1	2434
Asap2	1	26
Asap3	1	1372
Asb10	4	107
Ahdc1	4	62
Ankrd46	4	12
Asb11	0	907
Asb12	0	99
Asb13	0	1566
Asb16	4	133
Asb1	4	10
Asb18	4	22
Asb2	4	20
Ankrd23	4	3
Arhgef37	0	42
Asb3	2	2054
Asb5	0	1073
Asb6	1	2236
Asb7	2	2572
Asb8	0	748
Abcc8	0	17
Asb9	0	78
Ascc1	0	2063
Ascc2	2	2197
Ascc3	3	1980
Asf1a	0	320
Asgr2	1	525
Ash1l	0	1454
Ash2l	0	1307
Asl	3	518
Asns	2	1088
Asnsd1	0	1348
Aspa	4	9
Alpg	4	2
Aspn	1	655
Aspscr1	0	1820
Ass1	5	6
Aste1	3	29
Asxl1	2	1587
Asxl2	2	3142
Atad1	0	195
Atad2	1	2248
Atad2b	2	1542
Atad3a	1	1038
Atat1	4	14
Ate1	0	2169
Atf1	0	1767
Atf2	3	1880
Atf3	1	118
Atf4	0	88
Atf5	1	772
Atf6	2	2009
Atf6b	1	2238
Atf7	2	23
Atf7ip	0	753
Atg10	2	650
Atg101	0	90
Atg12	2	509
Atg13	0	2361
Atg14	0	1812
Atg16l1	2	510
Atg16l2	2	988
Atg2a	0	1228
Atg2b	0	348
Atg3	0	2576
Atg4b	0	1776
Atg4c	2	1290
Atg4d	0	220
Abhd8	0	14
Atg5	3	2251
Atg7	3	1185
Atg9a	0	774
Atic	3	1018
Atl3	1	3152
Atm	1	2541
Atmin	0	105
Atn1	4	26
Atox1	3	154
Atp10a	1	1838
Atp10d	1	2905
Atp11a	2	365
Atp11b	1	517
Atp11c	1	2246
Atp13a1	2	3349
Atp13a2	2	670
Atp13a3	0	1150
Atp1a1	2	321
Atp1a2	0	272
Atp1b1	4	62
Abhd18	4	8
Atp1b2	4	83
Atp1b3	1	2003
Atp1b4	4	15
