	cluster	degree
Ak2	3	1858
Ak4	3	1770
Ak5	0	1571
Akain1	3	2538
Akap1	0	509
Akap10	3	1544
Akap11	0	896
Akap12	3	2290
Akap13	5	264
Akap17a	4	878
Akap17b	2	299
Akap2	0	1302
Akap5	0	1502
Akap6	0	1611
Akap7	3	2489
Akap8	2	1971
Akap8l	5	40
Akap9	2	817
Akip1	2	169
Akirin1	0	1219
Akirin2	2	117
Akna	0	69
Akr1a1	4	284
Akr1b1	4	110
Akr1c13	1	75
Akr1c15	1	22
AC120594.1	1	4
Akr7a2	3	2434
Akr7a3	1	780
Akt1	0	472
Akt2	2	50
Akt3	0	480
Aktip	1	375
4930563E22Rik	1	42
AABR07058914.1	1	1
Alad	1	144
Alas1	3	2377
Alas2	1	17
Alcam	0	1206
Aldh16a1	3	1048
Aldh18a1	4	285
Aldh1a1	1	1772
Aldh1a2	1	123
Akr1c14	1	39
Aldh1b1	0	900
Aldh1l1	1	93
Aldh3a2	3	3330
Aldh3b1	0	1165
Aldh3b2	0	1149
Aldh4a1	3	3354
Aldh5a1	1	83
Aldh6a1	1	145
Aldh7a1	1	25
Aldh9a1	1	1088
Aldoa	4	433
Aldoc	3	1643
Alg1	4	47
Abhd14a	0	5
Alg10	2	278
Alg11	4	2909
Alg12	3	2131
Alg13	2	226
Alg14	4	232
Alg2	2	1403
Alg3	2	1816
Alg5	3	350
Alg6	3	2613
Alg9	4	183
Alk	0	332
Alkbh1	2	2729
Alkbh2	4	247
Alkbh3	3	1971
Alkbh4	3	1975
Alkbh5	1	487
Alkbh6	0	168
Alkbh7	4	31
Alkbh8	2	1014
Alms1	2	1264
Alox5	0	125
Alox5ap	1	68
4930523C07Rik	1	16
Aloxe3	3	2780
Alpg	5	349
Alpk1	0	1486
Als2	3	2980
Als2cl	0	568
Alx4	1	41
Alyref	4	1367
Amacr	4	202
Ambra1	2	2242
Amd1	2	1415
Amer1	2	2556
Amer2	3	2960
Amer3	2	1898
Amfr	3	643
Amhr2	3	2015
Amigo1	2	812
Amigo2	1	53
Amigo3	2	2473
Ammecr1	2	426
Ammecr1l	2	2411
Amn1	3	71
Amot	1	178
Amotl1	1	223
Amotl2	1	907
Ampd2	1	1742
Ampd3	1	252
Amph	0	785
Amt	3	112
Amz1	0	1432
Amz2	2	1207
Anapc1	2	2898
Anapc10	3	3053
Anapc15	1	22
Anapc16	3	2062
Anapc2	4	903
Anapc4	2	2748
Anapc5	0	8
Anapc7	0	655
Angel1	3	3180
Angel2	2	37
Angpt1	3	2178
Angptl2	1	169
AABR07054614.1	4	43
Ank1	3	2767
Ank2	2	233
Ank3	2	80
AABR07001592.2	2	66
Ankdd1a	5	152
Adamts9	5	8
Ankfn1	0	258
Ankfy1	1	446
Ankh	0	1076
Ankib1	1	80
Ankle2	2	2180
Ankmy1	5	137
Ankmy2	2	2825
Ankra2	0	78
Ankrd10	2	66
Ankrd11	0	1100
Ankrd12	2	457
Ankrd13a	1	1586
Ankrd13b	0	1114
Ankrd13c	0	687
Ankrd13d	0	764
Ankrd16	3	150
Ankrd17	0	508
Ankrd26	0	112
Ankrd27	0	1490
Ankrd28	1	247
Ankrd29	3	2933
Ankrd33b	0	1277
Ankrd34a	0	1204
Ankrd34b	3	2656
Ankrd34c	0	1172
Ankrd35	2	74
Ankrd39	2	67
Ankrd40	1	1542
Ankrd44	1	2265
AABR07045373.1	1	12
